id,src,month,day,year,name_cn,name_native,name_romaji,alt_names,gender,blood,age,types,ptype,work,work_cn,work_year,work_fmt,works,summary,heat,fav,votes,collects,nsfw,image,thumb,alts,palette,tags,url_al,url_bgm,url_vndb,bgm_id
al129928,anilist,3,8,,,성진우,Jin-U Seong,Sung Jin-Woo / Shun Mizushino (水篠旬) / World's Weakest Hunter / The Weakest Hunter of All Mankind,男,,23-24,动画|漫画,动画,俺だけレベルアップな件,,2024,动画,"[{""t"":""俺だけレベルアップな件"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":445807},{""t"":""俺だけレベルアップな件 Season 2 -Arise from the Shadow-"",""cn"":"""",""ty"":""动画"",""y"":2025,""pop"":308949},{""t"":""나 혼자만 레벨업"",""cn"":"""",""ty"":""漫画"",""y"":2018,""pop"":284643},{""t"":""나 혼자만 레벨업 : 라그나로크"",""cn"":"""",""ty"":""漫画"",""y"":2024,""pop"":32828},{""t"":""俺だけレベルアップな件 -ReAwakening-"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":29200},{""t"":""俺だけレベルアップな件 - Beyond the System -"",""cn"":"""",""ty"":""动画"",""y"":"""",""pop"":22606}]","Mage [Park Kyung-Hye](//anilist.co/character/209396/KyungHye-Park) (Mother), [Seong Jin-Ah](//anilist.co/character/138791/JinAh-Sung) (Sister), ~![Seong Il-Hwan](//anilist.co/character/138790/IlHwan-Sung) (Father), [Cha Hae-In](//anilist.co…",15583,15583,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b129928-BCEjVaP0AQSw.png,https://s4.anilist.co/file/anilistcdn/character/medium/b129928-BCEjVaP0AQSw.png,,,,https://anilist.co/character/129928,,,
vndb-c26201,vndb,3,8,,熊泽鯖吉,熊沢 鯖吉,Kumasawa Sabakichi,,男,O,,Galgame,Galgame,うみねこのなく頃に,海猫鸣泣之时,2007,Galgame,,Sabakichi Kumasawa is Kumasawa Chiyo's son. He is interviewed by Ange in the world of 1998 when she attempts to discover what killed her family.,13833,0,13833,0,,https://lain.bgm.tv/pic/crt/l/3f/4b/10222_crt_anidb.jpg,https://lain.bgm.tv/r/400/pic/crt/l/3f/4b/10222_crt_anidb.jpg,https://t.vndb.org/ch/43/32143.jpg,,Short Sweater Trousers Adult Overweight Olive Son Itome Grey Not Sexually Involved,,https://bgm.tv/character/10222,https://vndb.org/c26201,10222
bgm-bgm20680,vndb,3,8,,苍井濑名,蒼井 セナ,Aoi Sena,女子Ｂ / Girl B / 苍井赛娜,女,AB,,动画|漫画|Galgame,Galgame,CHAOS;HEAD,混沌头,2008,Galgame,"[{""t"":""CHAOS;HEAD"",""cn"":""混沌头"",""ty"":""Galgame"",""y"":2008,""pop"":6530},{""t"":""CHAOS;HEAD NOAH"",""cn"":""混沌之脑：诺亚"",""ty"":""Galgame"",""y"":2009,""pop"":4138},{""t"":""カオスヘッド らぶChu☆Chu!"",""cn"":"""",""ty"":""Galgame"",""y"":2010,""pop"":247},{""t"":""CHAOS;HEAD"",""cn"":""混沌头"",""ty"":""Galgame"",""y"":2008,""pop"":0},{""t"":""CHAOS;HEAD らぶChu☆Chu!"",""cn"":""混沌之脑 LOVE ChuChu"",""ty"":""Galgame"",""y"":2010,""pop"":0},{""t"":""CHAOS;HEAD NOAH"",""cn"":""混沌之脑：诺亚"",""ty"":""Galgame"",""y"":2009,""pop"":0}]",ヒロインの一人。翠明学園3年生。好きな教科は科学で幅広い理系の知識を持っている。男勝りで強気の性格をしているのだが、実際にはその凛々しい姿からは想像出来ないほど気が弱くてヘタレであり、それを周囲に悟らせない為に強気の態度で隠しているに過ぎない。子犬が苦手。拓巳からは梢と並んで「貧乳姉妹」と称された。,6530,0,6530,40,,https://lain.bgm.tv/pic/crt/l/85/a9/20680_crt_W5k67.jpg?r=1739760471,https://lain.bgm.tv/r/400/pic/crt/l/85/a9/20680_crt_W5k67.jpg?r=1739760471,https://t.vndb.org/ch/19/4719.jpg,,Black Waist Length+ Straight Teen Slim Pale Sword Orphan Fighting Disaster,,https://bgm.tv/character/20680,https://vndb.org/c4660,20680
vndb-c80891,vndb,3,8,,,,Gabriella,Gaby,女,,,Galgame,Galgame,VA-11 HALL-A,,2014,Galgame,,"Gabriella is the younger sister of Lenore, .",5080,0,5080,0,,https://t.vndb.org/ch/91/98091.jpg,https://t.vndb.org/ch/91/98091.jpg,,#491f45 #8c5670 #d4a7af #f5f0e3 #ffffff,Brown Long Pale Blue Kid Coat Scarf Vindictive Younger Sister Spiky Bangs,,,https://vndb.org/c80891,
al122687,anilist,3,8,,早乙女芽亚里,早乙女芽亜里,Mary Saotome,Meari,女,,16-17,动画|漫画,动画,賭ケグルイ,狂赌之渊,2017,动画,"[{""t"":""賭ケグルイ"",""cn"":""狂赌之渊"",""ty"":""动画"",""y"":2017,""pop"":456195},{""t"":""賭ケグルイ××"",""cn"":""狂赌之渊××"",""ty"":""动画"",""y"":2019,""pop"":237641},{""t"":""賭ケグルイ双"",""cn"":""狂赌之渊 双"",""ty"":""动画"",""y"":2022,""pop"":50450},{""t"":""賭ケグルイ"",""cn"":""狂赌之渊"",""ty"":""漫画"",""y"":2014,""pop"":24921},{""t"":""賭ケグルイ"",""cn"":""狂赌之渊"",""ty"":""动画"",""y"":2017,""pop"":20594},{""t"":""賭ケグルイ双"",""cn"":""狂赌之渊 双"",""ty"":""漫画"",""y"":2015,""pop"":5185}]",梦子转入的班级内的中心人物。梦子刚转入校内就与梦子进行了赌博胜负。 自尊心极强。,5018,5018,0,244,,https://lain.bgm.tv/pic/crt/l/5c/cd/27644_crt_zj739.jpg?r=1555673034,https://lain.bgm.tv/r/400/pic/crt/l/5c/cd/27644_crt_zj739.jpg?r=1555673034,https://s4.anilist.co/file/anilistcdn/character/medium/b122687-jl1wk9rjO57e.png|https://s4.anilist.co/file/anilistcdn/character/large/b122687-jl1wk9rjO57e.png,,,https://anilist.co/character/122687,https://bgm.tv/character/27644,,27644
al141122,anilist,3,8,,轻井泽惠,軽井沢恵,Kei Karuizawa,,女,,16,动画|漫画|轻小说,动画,ようこそ実力至上主義の教室へ,欢迎来到实力至上主义的教室,2017,动画,"[{""t"":""ようこそ実力至上主義の教室へ"",""cn"":""欢迎来到实力至上主义的教室"",""ty"":""动画"",""y"":2017,""pop"":447470},{""t"":""ようこそ実力至上主義の教室へ 2nd Season"",""cn"":""欢迎来到实力至上主义的教室 第二季"",""ty"":""动画"",""y"":2022,""pop"":261649},{""t"":""ようこそ実力至上主義の教室へ 3rd Season"",""cn"":""欢迎来到实力至上主义的教室 第三季"",""ty"":""动画"",""y"":2024,""pop"":188938},{""t"":""ようこそ実力至上主義の教室へ 4th Season 2年生編1学期"",""cn"":"""",""ty"":""动画"",""y"":2026,""pop"":117705},{""t"":""ようこそ実力至上主義の教室へ"",""cn"":""欢迎来到实力至上主义的教室"",""ty"":""轻小说"",""y"":2015,""pop"":41723},{""t"":""ようこそ実力至上主義の教室へ　２年生編"",""cn"":"""",""ty"":""轻小说"",""y"":2020,""pop"":16585}]",D班女同学的主要领袖，深受女生信赖，朋友也很多。积极的辣妹系金发蓝瞳不良少女，微微晒黑的皮肤，显得十分可爱。性格强势，受到同学、特别是女生们的信赖。所有层面的成绩皆为平均之下的水准，却具有若向心力一般的特质，小学、国中期间曾是班级活跃的核心人物。,3112,3112,0,402,,https://lain.bgm.tv/pic/crt/l/13/d3/54031_crt_liYYR.jpg,https://lain.bgm.tv/r/400/pic/crt/l/13/d3/54031_crt_liYYR.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b141122-6Zk52eU3VK3O.png|https://s4.anilist.co/file/anilistcdn/character/large/b141122-6Zk52eU3VK3O.png,,,https://anilist.co/character/141122,https://bgm.tv/character/54031,,54031
bgm-bgm37744,vndb,3,8,,八六,ハチロク,Hachiroku,鈴 / Suzu / 铃 / すず,女,,,Galgame,Galgame,まいてつ,爱上火车,2016,Galgame,"[{""t"":""まいてつ"",""cn"":""爱上火车"",""ty"":""Galgame"",""y"":2016,""pop"":1818},{""t"":""まいてつ Last Run!!"",""cn"":""爱上火车-Last Run!!-"",""ty"":""Galgame"",""y"":2020,""pop"":384},{""t"":""BALDR HEART"",""cn"":"""",""ty"":""Galgame"",""y"":2016,""pop"":272},{""t"":""BALDR HEART"",""cn"":"""",""ty"":""Galgame"",""y"":2016,""pop"":0},{""t"":""BALDR HEART EXE"",""cn"":"""",""ty"":""Galgame"",""y"":2016,""pop"":0},{""t"":""まいてつ"",""cn"":""爱上火车"",""ty"":""Galgame"",""y"":2016,""pop"":0}]",旧帝鉄 8620形蒸気機関車トップナンバー機 8620専用レイルロオド。 帝鉄解体直前、8620と共に買い取られて御一夜へ運ばれてきたものの、そのままずっと眠らされ続けてきた。 トップナンバーレイルロオドにふさわしい能力·知性·教養·気品を併せ持つ、まさに日ノ本撫子。 が、目覚めて以降は著しい能力低下に苦しめられ、人知れず涙をこぼしている。,1818,0,1818,141,,https://lain.bgm.tv/pic/crt/l/c3/7f/37744_crt_Z3y5J.jpg?r=1537798814,https://lain.bgm.tv/r/400/pic/crt/l/c3/7f/37744_crt_Z3y5J.jpg?r=1537798814,https://t.vndb.org/ch/35/54735.jpg,,Black Waist Length+ Straight Slim Pale Proactive Hard Worker Cooking Doggy Style Cowgirl,,https://bgm.tv/character/37744,https://vndb.org/c39202,37744
al89512,anilist,3,8,,卡洛尔·奥尔斯顿,キャロル・オールストン,Carol Olston,Mochi Girl / Blondie McTits / Caroline / Cotton Candy,女,O,15,动画|漫画,动画,トモちゃんは女の子！,智酱是女生！,2023,动画,"[{""t"":""トモちゃんは女の子！"",""cn"":""智酱是女生！"",""ty"":""动画"",""y"":2023,""pop"":176598},{""t"":""トモちゃんは女の子!"",""cn"":""智酱是女生！"",""ty"":""漫画"",""y"":2015,""pop"":46353}]",智たちのクラスメイト。 イギリスからの留学生の少女。人形のように整った容姿と女の子らしい悪意のない天然な性格から、男子生徒からの絶大な人気がある。その天然な性格とゆったりとした喋り口調から知力が低そうに見えるものの、察しはいい方で、また学力も極めて優秀。男子からの情欲を察知しているために男子とは関わらず、女子からも嫉妬を抱かれているため、交友関係は非常に狭く、智やみすずと知り合うまでは友人がほとんどいなかった。,1036,1036,0,36,,https://lain.bgm.tv/pic/crt/l/44/63/58219_crt_Ek4F7.jpg?r=1670755059,https://lain.bgm.tv/r/400/pic/crt/l/44/63/58219_crt_Ek4F7.jpg?r=1670755059,https://s4.anilist.co/file/anilistcdn/character/medium/n89512-Uxe3M5okQXG7.png|https://s4.anilist.co/file/anilistcdn/character/large/n89512-Uxe3M5okQXG7.png,,,https://anilist.co/character/89512,https://bgm.tv/character/58219,,58219
bgm-bgm149967,vndb,3,8,,,五十嵐 空人,Igarashi Sorato,,男,A,,Galgame,Galgame,"NO,THANK YOU!!!",,2013,Galgame,"[{""t"":""NO,THANK YOU!!!"",""cn"":"""",""ty"":""Galgame"",""y"":2013,""pop"":697},{""t"":""NO,THANK YOU!!!"",""cn"":"""",""ty"":""Galgame"",""y"":2013,""pop"":0}]","A young man with a gentle, polite demeanor, and one of Hiroyuki's former classmates. He was at the top of the class when he was in school with Hiroyuki, and he’s currently a senior in college with a tentative offer at an accounting firm.",697,0,697,0,,https://lain.bgm.tv/pic/crt/l/4e/f9/149967_crt_5e53a.jpg,https://lain.bgm.tv/r/400/pic/crt/l/4e/f9/149967_crt_5e53a.jpg,https://t.vndb.org/ch/68/34368.jpg,,Brown Short Straight Brown Slim Pale Trousers Young-adult Secretive Yangire,,https://bgm.tv/character/149967,https://vndb.org/c15401,149967
vndb-c127976,vndb,3,8,,丽贝卡,丽贝卡,Rebecca Ira,,女,,,Galgame,Galgame,火山的女儿,火山的女儿,2023,Galgame,,She migrated from the Diamond Kingdom and now runs a clothing store in Central Plaza. She has a strong passion for designing and making clothes and would often head to the farm to pick the materials herself.,457,0,213,457,,https://lain.bgm.tv/pic/crt/l/4e/ad/116359_crt_C0xc8.jpg,https://lain.bgm.tv/r/400/pic/crt/l/4e/ad/116359_crt_C0xc8.jpg,https://t.vndb.org/ch/49/150649.jpg,,Brown Brown Slim Pale Young-adult Dress Hat Wife Friend Singing,,https://bgm.tv/character/116359,https://vndb.org/c127976,116359
