id,src,month,day,year,name_cn,name_native,name_romaji,alt_names,gender,blood,age,types,ptype,work,work_cn,work_year,work_fmt,works,summary,heat,fav,votes,collects,nsfw,image,thumb,alts,palette,tags,url_al,url_bgm,url_vndb,bgm_id
al120649,anilist,1,1,2003,四宫辉夜,四宮かぐや,Kaguya Shinomiya,Muscle Queen / Auntie / Princess / Demon,女,AB,17,动画|漫画,动画,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,2019,动画,"[{""t"":""かぐや様は告らせたい～天才たちの恋愛頭脳戦～"",""cn"":""辉夜大小姐想让我告白 ~天才们的恋爱头脑战~"",""ty"":""动画"",""y"":2019,""pop"":558713},{""t"":""かぐや様は告らせたい？～天才たちの恋愛頭脳戦～"",""cn"":""辉夜大小姐想让我告白 ~天才们的恋爱头脑战~"",""ty"":""动画"",""y"":2020,""pop"":434528},{""t"":""かぐや様は告らせたい-ウルトラロマンティック-"",""cn"":""辉夜大小姐想让我告白-超级浪漫-"",""ty"":""动画"",""y"":2022,""pop"":292244},{""t"":""かぐや様は告らせたい -ファーストキッスは終わらない-"",""cn"":"""",""ty"":""动画"",""y"":2023,""pop"":147967},{""t"":""かぐや様は告らせたい～天才たちの恋愛頭脳戦～"",""cn"":""辉夜大小姐想让我告白 ~天才们的恋爱头脑战~"",""ty"":""漫画"",""y"":2015,""pop"":119314},{""t"":""かぐや様は告らせたい～天才たちの恋愛頭脳戦～OVA"",""cn"":""辉夜大小姐想让我告白？～天才们的恋爱头脑战～ OVA"",""ty"":""动画"",""y"":2021,""pop"":91890}]",本作的主角。秀知院学园高中部2年A班的女学生，担任学生会副会长。参加的社团是弓道部。 四大财阀之一，四宫集团的千金。 万能型的天才，但是不谙世故，无意识中会瞧不起人。 想告诉白银御行他和猫耳很般配。,21556,21556,0,925,,https://s4.anilist.co/file/anilistcdn/character/large/b120649-NPaWaIpWy60E.png,https://s4.anilist.co/file/anilistcdn/character/medium/b120649-NPaWaIpWy60E.png,https://lain.bgm.tv/r/400/pic/crt/l/9e/72/66899_crt_kNOM3.jpg?r=1547389516,,,https://anilist.co/character/120649,https://bgm.tv/character/66899,,66899
al90007,anilist,1,1,,日向创,日向創,Hajime Hinata,Ultimate ??? / 超高校級の??? / Super High School Level ??? / Ultimate ???,男,A,,动画|漫画|Galgame,动画,ダンガンロンパ３ –The End of 希望ヶ峰学園– 未来編,,2016,动画,"[{""t"":""ダンガンロンパ３ –The End of 希望ヶ峰学園– 未来編"",""cn"":"""",""ty"":""动画"",""y"":2016,""pop"":90791},{""t"":""ダンガンロンパ3 -The End of 希望ヶ峰学園-　絶望編"",""cn"":""弹丸论破3 -The End of 希望之峰学园- 绝望篇"",""ty"":""动画"",""y"":2016,""pop"":89210},{""t"":""ダンガンロンパ３-The End of 希望ヶ峰学園-希望編"",""cn"":"""",""ty"":""动画"",""y"":2016,""pop"":56357},{""t"":""スーパーダンガンロンパ2.5 狛枝凪斗と世界の破壊者"",""cn"":""超级弹丸论破2.5 狛枝凪斗与世界的破坏者"",""ty"":""动画"",""y"":2017,""pop"":34341},{""t"":""ダンガンロンパ3 モノクマ劇場"",""cn"":"""",""ty"":""动画"",""y"":2016,""pop"":13672},{""t"":""スーパーダンガンロンパ2 さよなら絶望学園"",""cn"":""超级弹丸论破2 再见了绝望学园"",""ty"":""Galgame"",""y"":2012,""pop"":13178}]",本作の主人公。超高校級の「？？？」。 幼い頃からずっと希望ヶ峰学園に特別な思いを抱き続けており、ついに強く憧れていた学園に入学を果たすも、彼はそこで超高校級のメンバーとともにコロシアイ修学旅行に巻き込まれる事となる。 学園入学以前の記憶をほとんど忘れてしまっており、それゆえ自分が持っていたと推察される超高校級の才能も覚えていない。特にスポーツをやっていたわけではないようだが、弐大曰く隠れた才能は持っている模様。,13178,1555,13178,132,,https://s4.anilist.co/file/anilistcdn/character/large/b90007-ybDO4Rv8ndr5.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b90007-ybDO4Rv8ndr5.jpg,https://t.vndb.org/ch/73/70673.jpg|https://lain.bgm.tv/r/400/pic/crt/l/58/fb/18040_crt_VHPrn.jpg?r=1534932681,,Black Brown White Ahoge Waist Length+ Wavy Short Teen Slim Pale,https://anilist.co/character/90007,https://bgm.tv/character/18040,https://vndb.org/c6610,18040
bgm-bgm11753,vndb,1,1,,九鬼扬羽,九鬼 揚羽,Kuki Ageha,,女,AB,,动画|Galgame,Galgame,真剣で私に恋しなさい！,认真和我恋爱！！,2009,Galgame,"[{""t"":""真剣で私に恋しなさい！"",""cn"":""认真和我恋爱！！"",""ty"":""Galgame"",""y"":2009,""pop"":9401},{""t"":""真剣で私に恋しなさい！S"",""cn"":""认真和我恋爱！S"",""ty"":""Galgame"",""y"":2012,""pop"":5025},{""t"":""真剣で私に恋しなさい！A-1"",""cn"":"""",""ty"":""Galgame"",""y"":2013,""pop"":2470},{""t"":""真剣で私に恋しなさい！A-2"",""cn"":"""",""ty"":""Galgame"",""y"":2013,""pop"":2188},{""t"":""真剣で私に恋しなさい！A-3"",""cn"":"""",""ty"":""Galgame"",""y"":2014,""pop"":1374},{""t"":""真剣で私に恋しなさい！A-5"",""cn"":"""",""ty"":""Galgame"",""y"":2016,""pop"":791}]",在「真剣で私に恋しなさい!!」中继「君が主で執事が俺で」之后再次登场。从那以后过了2年，现在已经毕业了。 从小就如武者般接受教育，说话也带着古风。照顾她的女仆也是武道派云集。 座右铭是“人生就是战斗”。认为赢了的会让人成长、让人发光。 因此经常将事情置换成为认真的“战斗”，并为此而争取胜利…… 因为和善的祖母等存在而对老人怀有尊敬之心，但是最近被些能影响世界的狡猾的大人们监视，开始觉得有点难以应对。 现在仍然将管家小十郎任命为专属管家，依旧不断地殴打他。,9401,0,9401,18,,https://t.vndb.org/ch/20/36820.jpg,https://t.vndb.org/ch/20/36820.jpg,https://lain.bgm.tv/r/400/pic/crt/l/8c/48/11753_crt_6AAso.jpg,#e6d3c4 #f9eede #6e6f76 #b4afad #f5f4f3 #ffffff,White Waist Length+ Straight Slim Pale Trousers Amber Young-adult Scar Headband,,https://bgm.tv/character/11753,https://vndb.org/c3800,11753
al2072,anilist,1,1,,波特卡斯·D·艾斯,ポートガス・D・エース,Ace Portgas,Fire Fist Ace / Portgaz D. Ace / Portgaz D. Trace / 火拳のエース,男,S,20,动画|漫画,动画,ONE PIECE,航海王,1999,动画,"[{""t"":""ONE PIECE"",""cn"":""航海王"",""ty"":""动画"",""y"":1999,""pop"":750384},{""t"":""ONE PIECE"",""cn"":""航海王"",""ty"":""漫画"",""y"":1997,""pop"":232766},{""t"":""ONE PIECE STAMPEDE"",""cn"":""航海王：狂热行动"",""ty"":""动画"",""y"":2019,""pop"":62019},{""t"":""ONE PIECE FAN LETTER"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":58152},{""t"":""ONE PIECE “3D2Y” エースの死を越えて! ルフィ仲間との誓い"",""cn"":"""",""ty"":""动画"",""y"":2014,""pop"":23907},{""t"":""ONE PIECE エピソードオブサボ ~3兄弟の絆 奇跡の再会と受け継がれる意志~"",""cn"":"""",""ty"":""动画"",""y"":2015,""pop"":10559}]",主角蒙奇·D·路飞的义兄。因相当痛恨父亲，故改姓母亲波特卡斯·D·露玖的姓氏。黑发，常戴着一顶橘色的帽子，在帽子上有奸笑和难过这两种表情图案，而且帽子的绳子绑着一个骷髅头的牌子，是白胡子海贼团第二队队长，实力强大。,9197,9197,0,98,,https://s4.anilist.co/file/anilistcdn/character/large/b2072-Lc6jEdsueJUK.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b2072-Lc6jEdsueJUK.jpg,https://lain.bgm.tv/r/400/pic/crt/l/5c/b4/3311_crt_8HJy8.jpg,,,https://anilist.co/character/2072,https://bgm.tv/character/3311,,3311
al908,anilist,1,1,,四枫院夜一,四楓院夜一,Yoruichi Shihouin,Goddess of Flash / Demon cat / 瞬神夜一,女,,,动画|漫画,动画,BLEACH,死神,2004,动画,"[{""t"":""BLEACH"",""cn"":""死神"",""ty"":""动画"",""y"":2004,""pop"":521026},{""t"":""BLEACH 千年血戦篇-訣別譚-"",""cn"":""死神 千年血战篇-诀别谭-"",""ty"":""动画"",""y"":2023,""pop"":143301},{""t"":""BLEACH"",""cn"":""死神"",""ty"":""漫画"",""y"":2001,""pop"":121044},{""t"":""BLEACH 千年血戦篇-相剋譚-"",""cn"":""死神 千年血战篇-相克谭-"",""ty"":""动画"",""y"":2024,""pop"":117708},{""t"":""BLEACH 千年血戦篇-禍進譚-"",""cn"":""死神 千年血战篇-祸进谭-"",""ty"":""动画"",""y"":2026,""pop"":86495},{""t"":""BLEACH The DiamondDust Rebellion もう一つの氷輪丸"",""cn"":"""",""ty"":""动画"",""y"":2007,""pop"":42491}]",日本漫画《BLEACH》中的角色，原护廷十三队二番队队长兼前隐秘机动总司令，同第一分队刑军总括军团长，也是尸魂界四大贵族之一四枫院家的第二十二代当家。,7246,7246,0,109,,https://s4.anilist.co/file/anilistcdn/character/large/b908-JSYUkJLCw1f0.png,https://s4.anilist.co/file/anilistcdn/character/medium/b908-JSYUkJLCw1f0.png,https://lain.bgm.tv/r/400/pic/crt/l/30/f5/7815_crt_hPn2N.jpg,,,https://anilist.co/character/908,https://bgm.tv/character/7815,,7815
bgm-bgm29049,vndb,1,1,,鲁格·贝奥武夫,ルゥ ベオウルフ,Lugh Beowulf,金狼 / 贝奥,男,,,Galgame,Galgame,魔法使いの夜,魔法使之夜,2012,Galgame,"[{""t"":""魔法使いの夜"",""cn"":""魔法使之夜"",""ty"":""Galgame"",""y"":2012,""pop"":5483},{""t"":""魔法使いの夜"",""cn"":""魔法使之夜"",""ty"":""Galgame"",""y"":2012,""pop"":0},{""t"":""魔法使いの夜"",""cn"":""魔法使之夜"",""ty"":""Galgame"",""y"":2022,""pop"":0}]",金色的人狼，幻兽级别的神秘，魔术师的天敌。 喜欢吃汉堡时的口感，在路过教会被周濑唯架喂食后觉醒了对甜味的喜好。,5483,0,5483,18,,https://t.vndb.org/ch/06/54506.jpg,https://t.vndb.org/ch/06/54506.jpg,https://lain.bgm.tv/r/400/pic/crt/l/c5/02/29049_crt_D4E4Y.jpg,#b29b8c #d8c5ba #e9dfdb #f2eae6 #ffffff,Blond Wavy Short Slim Pale Trousers Dress Shoes Fighting Green Jacket,,https://bgm.tv/character/29049,https://vndb.org/c6176,29049
al127278,anilist,1,1,,壬氏,壬氏,Jinshi,Renshi,男,A,18-,动画|漫画|轻小说,动画,薬屋のひとりごと,药屋少女的呢喃,2023,动画,"[{""t"":""薬屋のひとりごと"",""cn"":""药屋少女的呢喃"",""ty"":""动画"",""y"":2023,""pop"":324914},{""t"":""薬屋のひとりごと 第2期"",""cn"":""药屋少女的呢喃 第二季"",""ty"":""动画"",""y"":2025,""pop"":203742},{""t"":""薬屋のひとりごと 第3期"",""cn"":""药屋少女的呢喃 第三季"",""ty"":""动画"",""y"":2026,""pop"":68575},{""t"":""薬屋のひとりごと"",""cn"":""药屋少女的呢喃"",""ty"":""漫画"",""y"":2017,""pop"":46612},{""t"":""薬屋のひとりごと 亡妃の秘宝"",""cn"":"""",""ty"":""动画"",""y"":2026,""pop"":23598},{""t"":""薬屋のひとりごと"",""cn"":""药屋少女的呢喃"",""ty"":""轻小说"",""y"":2014,""pop"":13748}]",後宮で強い権力を持つ宦官。 もし女性だったら傾国と言われるほどの美形。 とある事件をきっかけに猫猫の「実力」に気づき、皇帝の寵妃の侍女に抜擢する。,4659,4659,0,49,,https://s4.anilist.co/file/anilistcdn/character/large/b127278-0qCQciTkPOMS.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b127278-0qCQciTkPOMS.jpg,https://lain.bgm.tv/r/400/pic/crt/l/ef/15/61331_crt_p75Xe.jpg?r=1692970256,,,https://anilist.co/character/127278,https://bgm.tv/character/61331,,61331
bgm-bgm14471,vndb,1,1,,风冈麻理,風岡 麻理,Kazaoka Mari,,女,,,Galgame,Galgame,WHITE ALBUM2,白色相簿2,2010,Galgame,"[{""t"":""WHITE ALBUM2"",""cn"":""白色相簿2"",""ty"":""Galgame"",""y"":2010,""pop"":4537},{""t"":""WHITE ALBUM2 -closing chapter-"",""cn"":""白色相簿2 终章"",""ty"":""Galgame"",""y"":2011,""pop"":0},{""t"":""WHITE ALBUM2 EXTENDED EDITION"",""cn"":""白色相簿2 扩展版"",""ty"":""Galgame"",""y"":2018,""pop"":0},{""t"":""WHITE ALBUM2 -幸せの向こう側-"",""cn"":""白色相簿2 幸福的彼端"",""ty"":""Galgame"",""y"":2012,""pop"":0}]",在出版界的业内霸主——开樱社任职的杂志编辑。 说她是新手着实有点不正确，但她也还不到被称之为“老手”的年龄。 相同年龄段的男女同事中就她晋升最快，已经是下任主编的候补人选了。 工作狂，热心到甚至无人看过她休息时的模样。集周围人们的羡慕、嫉妒、尊敬、害怕于一身，其实也无所谓，反正没人赢得了她。 向来威风凛凛，典型的“出色过头以致男性都不敢靠近的女强人”。,4537,0,4537,143,,https://t.vndb.org/ch/92/150592.jpg,https://t.vndb.org/ch/92/150592.jpg,https://lain.bgm.tv/r/400/pic/crt/l/b7/82/14471_crt_aX79z.jpg,#231f26 #eaddcd #766d6d #f8f6ea #b8b4b4 #ffffff,Brown Long Curtained Straight Slim Pale Doggy Style Standing Sex Spoons Sixty-nine,,https://bgm.tv/character/14471,https://vndb.org/c12976,14471
bgm-bgm28648,vndb,1,1,,麻弓百里香,麻弓＝タイム,Mayumi Thyme,麻弓タイム,女,,,动画|Galgame,Galgame,SHUFFLE!,,2004,Galgame,"[{""t"":""SHUFFLE!"",""cn"":"""",""ty"":""Galgame"",""y"":2004,""pop"":4051},{""t"":""SHUFFLE!"",""cn"":"""",""ty"":""Galgame"",""y"":2004,""pop"":4051},{""t"":""SHUFFLE!"",""cn"":"""",""ty"":""Galgame"",""y"":2004,""pop"":4051},{""t"":""SHUFFLE!"",""cn"":"""",""ty"":""Galgame"",""y"":2004,""pop"":4051},{""t"":""Tick! Tack!"",""cn"":"""",""ty"":""Galgame"",""y"":2005,""pop"":604},{""t"":""Really? Really!"",""cn"":"""",""ty"":""Galgame"",""y"":2006,""pop"":443}]",稟とネリネのクラスメートにして悪友にしてトラブルメイカー。 人間と魔族両方の血を受け継いでいるものの、人間の血の方が濃いらしく、その魔力は微小。 好奇心旺盛で、思いついたら後先考えない特攻娘。カメラを片手に突っ走る。樹と麻弓、二人が揃ったときの周囲の疲労度は並大抵のものではない。 なお、胸がないのはもはや個性。麻弓＝タイムのシンボルともいえる。 「乙女のカバンの中身を漁るなら、せめて本人のいないところでバレないようにこそりやってほしいわけなのですよ？」,4051,0,4051,9,,https://t.vndb.org/ch/22/24322.jpg,https://t.vndb.org/ch/22/24322.jpg,https://lain.bgm.tv/r/400/pic/crt/l/b8/0f/28648_crt_qoQ25.jpg,#6f5f5c #e3ccbd #aa9f98 #f2eadb #f4f4f4 #ffffff,Ahoge Long Straight Teen Slim Pale Missionary Doggy Style Cowgirl Virgin Sex,,https://bgm.tv/character/28648,https://vndb.org/c4678,28648
al16,anilist,1,1,2058,艾德,エドワード・ウォン・ハウ・ペペル・チブルスキー4世,Edward Wong Hau Pepelu Tivrusky IV,Edward IV / Ed / Radical Ed / Radical Edward,女,AB,~13,动画|漫画|Galgame,动画,カウボーイビバップ,星际牛仔,1998,动画,"[{""t"":""カウボーイビバップ"",""cn"":""星际牛仔"",""ty"":""动画"",""y"":1998,""pop"":467538},{""t"":""カウボーイビバップ天国の扉"",""cn"":""星际牛仔 天国之扉"",""ty"":""动画"",""y"":2001,""pop"":84465},{""t"":""カウボーイビバップ よせあつめブルース"",""cn"":"""",""ty"":""动画"",""y"":1998,""pop"":13320},{""t"":""アインのなつやすみ"",""cn"":"""",""ty"":""动画"",""y"":2012,""pop"":9026},{""t"":""カウボーイビバップ"",""cn"":""星际牛仔"",""ty"":""漫画"",""y"":1999,""pop"":5160},{""t"":""シューティングスタービバップ カウボーイビバップ"",""cn"":"""",""ty"":""漫画"",""y"":1998,""pop"":1650}]",拥有男性名字的13岁地球少女，曾经被称作激进爱德华的天才黑客。因为父亲专注于记录陨石的掉落地点的工作，而连她是女孩这个事实都没弄清楚。惯用的电脑「番茄」是她自己制造的。从小就到处流浪，不喜欢待在同一个地方，是个电脑天才，几乎可以侵入任何安全系统，但在日常生活与人际关系上的常识，却有微妙程度的缺乏，言行举止有些微幼儿化。平时性格异常开朗，和资料犬爱因关系很好。虽然年纪小，但是心中也有自己对生活的看法。,3574,3574,0,192,,https://s4.anilist.co/file/anilistcdn/character/large/b16-80wd87nl1Rue.png,https://s4.anilist.co/file/anilistcdn/character/medium/b16-80wd87nl1Rue.png,https://lain.bgm.tv/r/400/pic/crt/l/a7/6e/80_crt_T8DMp.jpg,,,https://anilist.co/character/16,https://bgm.tv/character/80,,80
