id,src,month,day,name_cn,name_native,name_romaji,alt_names,types,ptype,work,work_cn,work_year,heat,fav,votes,collects,nsfw,thumb,image,alts,palette,bgm_id,url_al,url_bgm,url_vndb
al45627,anilist,12,25,利威尔,リヴァイ,Levi,Levi Heichou (リヴァイ兵長) / Captain Levi / Jinrui Saikyou no Heishi (人類最強の兵士) / Humanity's Strongest Soldier,动画|Galgame,动画,進撃の巨人,进击的巨人,2013,43226,43226,0,772,,https://s4.anilist.co/file/anilistcdn/character/medium/b45627-CR68RyZmddGG.png,https://s4.anilist.co/file/anilistcdn/character/large/b45627-CR68RyZmddGG.png,https://lain.bgm.tv/r/400/pic/crt/l/e5/b3/19546_crt_UP2v0.jpg?r=1611927735,,19546,https://anilist.co/character/45627,https://bgm.tv/character/19546,
al127691,anilist,12,7,五条悟,五条悟,Satoru Gojou,Satoru Gojo,动画|漫画|游戏,动画,呪術廻戦,咒术回战,2020,41833,41833,0,230,,https://s4.anilist.co/file/anilistcdn/character/medium/b127691-9zqh1xpIubn7.png,https://s4.anilist.co/file/anilistcdn/character/large/b127691-9zqh1xpIubn7.png,https://lain.bgm.tv/r/400/pic/crt/l/12/12/74243_crt_c5h9t.jpg?r=1646562964,,74243,https://anilist.co/character/127691,https://bgm.tv/character/74243,
al27,anilist,7,7,奇犽·揍敌客,キルア=ゾルディック,Killua Zoldyck,Kill / Kil / Evans / 基路亞·祖迪,动画|漫画,动画,HUNTER×HUNTER (2011),,2011,37868,37868,0,351,,https://s4.anilist.co/file/anilistcdn/character/medium/b27-Z5O02kQUydpT.jpg,https://s4.anilist.co/file/anilistcdn/character/large/b27-Z5O02kQUydpT.jpg,https://lain.bgm.tv/r/400/pic/crt/l/6e/ae/6550_crt_raIg7.jpg,,6550,https://anilist.co/character/27,https://bgm.tv/character/6550,
al40,anilist,5,5,蒙奇·D·路飞,モンキー・D・ルフィ,Luffy Monkey,Mugiwara (麦わら) / Straw Hat / Mugi (麦) / Straw,动画|漫画,动画,ONE PIECE,航海王,1999,36509,36509,0,299,,https://s4.anilist.co/file/anilistcdn/character/medium/b40-MNypXsxSRb1R.png,https://s4.anilist.co/file/anilistcdn/character/large/b40-MNypXsxSRb1R.png,https://lain.bgm.tv/r/400/pic/crt/l/12/c1/2358_crt_3ZoDo.jpg,,2358,https://anilist.co/character/40,https://bgm.tv/character/2358,
al40882,anilist,3,30,艾伦·耶格尔,エレン・イェーガー,Eren Yeager,Eren Jaeger / Eren Jäger / Shi ni Isogi Yarou (死に急ぎ野郎) / Suicidal Maniac,动画|Galgame,动画,進撃の巨人,进击的巨人,2013,34963,34963,0,523,,https://s4.anilist.co/file/anilistcdn/character/medium/b40882-dsj7IP943WFF.jpg,https://s4.anilist.co/file/anilistcdn/character/large/b40882-dsj7IP943WFF.jpg,https://lain.bgm.tv/r/400/pic/crt/l/e3/2f/18101_crt_343At.jpg?r=1410320023,,18101,https://anilist.co/character/40882,https://bgm.tv/character/18101,
al71,anilist,10,31,L,エル・ローライト,L Lawliet,Ryuga Hideki / Ryuzaki / Eraldo Coil / Deneuve,动画|漫画|轻小说,动画,DEATH NOTE,死亡笔记,2006,29289,29289,0,570,,https://s4.anilist.co/file/anilistcdn/character/medium/b71-1W4panC53vfs.png,https://s4.anilist.co/file/anilistcdn/character/large/b71-1W4panC53vfs.png,https://lain.bgm.tv/r/400/pic/crt/l/fc/07/16684_crt_3Vfi9.jpg?r=1720108018,,16684,https://anilist.co/character/71,https://bgm.tv/character/16684,
al417,anilist,12,5,鲁路修·兰佩路基,ルルーシュ・ランペルージ,Lelouch Lamperouge,Lulu / Zero / King of Elevens / The Demon,动画|游戏,动画,コードギアス 反逆のルルーシュ,Code Geass 反叛的鲁路修,2006,29202,29202,0,1255,,https://s4.anilist.co/file/anilistcdn/character/medium/b417-gVLmIJu9phcK.png,https://s4.anilist.co/file/anilistcdn/character/large/b417-gVLmIJu9phcK.png,https://lain.bgm.tv/r/400/pic/crt/l/7b/3a/1_crt_FEkJM.jpg,,1,https://anilist.co/character/417,https://bgm.tv/character/1,
al62,anilist,11,11,罗罗诺亚·索隆,ロロノア・ゾロ,Zoro Roronoa,Zolo / Kaizoku Gari (海賊狩り) / Pirate Hunter / Marimo Head,动画|漫画,动画,ONE PIECE,航海王,1999,29070,29070,0,282,,https://s4.anilist.co/file/anilistcdn/character/medium/b62-S7oAeA9WInjV.png,https://s4.anilist.co/file/anilistcdn/character/large/b62-S7oAeA9WInjV.png,https://lain.bgm.tv/r/400/pic/crt/l/2e/9a/2359_crt_DJdZ1.jpg,,2359,https://anilist.co/character/62,https://bgm.tv/character/2359,
al40881,anilist,2,10,三笠·阿克曼,ミカサ・アッカーマン,Mikasa Ackerman,米卡莎・阿卡曼,动画,动画,進撃の巨人,进击的巨人,2013,28797,28797,0,1016,,https://s4.anilist.co/file/anilistcdn/character/medium/b40881-F3gr1PkreDvj.png,https://s4.anilist.co/file/anilistcdn/character/large/b40881-F3gr1PkreDvj.png,https://lain.bgm.tv/r/400/pic/crt/l/21/40/18102_crt_nVMeD.jpg?r=1700166918,,18102,https://anilist.co/character/40881,https://bgm.tv/character/18102,
al88572,anilist,9,23,艾米莉娅,エミリア,Emilia,Satella / Lia / Emilia-tan / Witch of Glaciation,动画|游戏|Galgame,动画,Re:ゼロから始める異世界生活,Re：从零开始的异世界生活,2016,28790,28790,155,1181,,https://s4.anilist.co/file/anilistcdn/character/medium/b88572-IzTwXEHSobRs.jpg,https://s4.anilist.co/file/anilistcdn/character/large/b88572-IzTwXEHSobRs.jpg,https://t.vndb.org/ch/40/62640.jpg|https://lain.bgm.tv/r/400/pic/crt/l/86/d4/35608_crt_nTNp7.jpg?r=1766251180,,35608,https://anilist.co/character/88572,https://bgm.tv/character/35608,https://vndb.org/c52307
al87275,anilist,12,20,金木研,金木研,Ken Kaneki,Eyepatch / Kane-yan / Kanekichi / 独眼之王,动画|漫画|游戏,动画,東京喰種 トーキョーグール,东京喰种,2014,28133,28133,0,188,,https://s4.anilist.co/file/anilistcdn/character/medium/b87275-mb13EWZBdbh3.png,https://s4.anilist.co/file/anilistcdn/character/large/b87275-mb13EWZBdbh3.png,https://lain.bgm.tv/r/400/pic/crt/l/25/14/23732_crt_etEvL.jpg?r=1694415849,,23732,https://anilist.co/character/87275,https://bgm.tv/character/23732,
